"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Menu Navigation","12","0","","0"
"0","","0","Add to Cart Functionality","1","0","","0"
"0","","0","Search Functionality","1","0","","0"
